combination,epoch,training_time,testing_time,system_time,explained_variance_score,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
"[3, 16, [4], 'tanh']",1000,689,0,689,0.141318482,0.420428612,0.356935754,0.324319601,-0.31495334
"[3, 16, [4], 'sigmoid']",1000,671,0,671,0.160311211,0.348006948,0.285900061,0.242569804,-0.053257443
"[3, 16, [8], 'tanh']",1000,688,0,688,0.126742427,0.605312984,0.554884149,0.534679085,-1.044196349
"[3, 16, [8], 'sigmoid']",1000,687,0,687,0.176392149,0.379068252,0.314219681,0.276415974,-0.157587086
"[3, 16, [16], 'tanh']",1000,705,0,705,0.02902728,0.937585581,1.085843042,0.900714129,-3.000251916
"[3, 16, [16], 'sigmoid']",1000,708,0,708,0.160039066,0.322585416,0.259064443,0.221801162,0.045605125
"[3, 16, [32], 'tanh']",1000,743,0,743,0.139358081,0.663417985,0.630447193,0.602123074,-1.32257103
"[3, 16, [32], 'sigmoid']",1000,759,0,759,0.144518274,0.458461691,0.390728035,0.364230245,-0.439444295
"[3, 16, [4, 2], 'tanh']",1000,966,0,966,0.108092641,0.492746512,0.435273341,0.402146965,-0.603549453
"[3, 16, [4, 2], 'sigmoid']",1000,966,0,966,0.117200391,0.339422615,0.286337121,0.230441391,-0.054867575
"[3, 16, [8, 4], 'tanh']",1000,975,0,975,0.2045688,0.409985693,0.333142693,0.308825552,-0.227299568
"[3, 16, [8, 4], 'sigmoid']",1000,984,0,984,0.132464049,0.383972008,0.321872836,0.281443179,-0.185781352
"[3, 16, [16, 4], 'tanh']",1000,1000,0,1000,0.209307456,0.411420596,0.333978974,0.318678349,-0.230380432
"[3, 16, [16, 4], 'sigmoid']",1000,1007,0,1007,0.157303048,0.49852453,0.43526367,0.407741964,-0.603513826
"[3, 16, [16, 8], 'tanh']",1000,1022,0,1022,0.165177263,0.767760594,0.784996117,0.702538084,-1.891930142
"[3, 16, [16, 8], 'sigmoid']",1000,1030,0,1030,0.174264347,0.394259712,0.336427124,0.292322218,-0.239399431
"[3, 16, [32, 4], 'tanh']",1000,1044,1,1044,0.167395083,0.511559263,0.44339008,0.431229174,-0.633451566
"[3, 16, [32, 4], 'sigmoid']",1000,1037,0,1037,0.179855699,0.442936815,0.376276351,0.357752144,-0.386204207
"[3, 16, [32, 8], 'tanh']",1000,1030,0,1030,0.191344113,0.545668579,0.476366055,0.469531596,-0.754935244
"[3, 16, [32, 8], 'sigmoid']",1000,1006,0,1006,0.116885574,0.511355255,0.455926121,0.423760056,-0.679634412
"[3, 16, [32, 16], 'tanh']",1000,1012,0,1012,0.190108553,0.535209112,0.477431544,0.460856795,-0.758860513
"[3, 16, [32, 16], 'sigmoid']",1000,1024,0,1024,0.193450237,0.353010664,0.296470132,0.250652134,-0.092197646
"[3, 32, [4], 'tanh']",1000,347,0,347,0.158724808,0.543024416,0.428827859,0.517893255,-0.579804261
"[3, 32, [4], 'sigmoid']",1000,344,0,344,0.171732995,0.846451899,0.85059591,0.854894161,-2.133600152
"[3, 32, [8], 'tanh']",1000,365,0,365,0.15699559,0.298771163,0.229232411,0.200564742,0.1555065
"[3, 32, [8], 'sigmoid']",1000,354,0,354,0.151186992,0.575295574,0.46543448,0.553156197,-0.714663262
"[3, 32, [16], 'tanh']",1000,382,0,382,0.158006796,0.313122471,0.255222705,0.207903296,0.059758111
"[3, 32, [16], 'sigmoid']",1000,369,0,369,0.145438803,0.329853517,0.242340912,0.243051171,0.107214708
"[3, 32, [32], 'tanh']",1000,409,0,409,0.128046246,0.309183972,0.237343452,0.213275969,0.125625379
"[3, 32, [32], 'sigmoid']",1000,417,0,417,0.142479543,0.321938794,0.240792211,0.237317622,0.112920132
"[3, 32, [4, 2], 'tanh']",1000,497,0,497,0.159230144,0.296332594,0.228238128,0.201447606,0.159169445
"[3, 32, [4, 2], 'sigmoid']",1000,490,0,490,0.144946836,0.568044596,0.451316258,0.544874072,-0.662651651
"[3, 32, [8, 4], 'tanh']",1000,498,1,498,0.185989246,0.289836837,0.223535324,0.187604249,0.176494601
"[3, 32, [8, 4], 'sigmoid']",1000,500,0,500,0.163684255,0.496247735,0.374554717,0.460199118,-0.379861699
"[3, 32, [16, 4], 'tanh']",1000,509,0,509,0.218921031,0.289293681,0.224705276,0.18667537,0.172184489
"[3, 32, [16, 4], 'sigmoid']",1000,511,0,511,0.142429629,0.451433006,0.335320782,0.403982639,-0.235323659
