combination,epoch,training_time,testing_time,system_time,explained_variance_score,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
"[3, 16, [4], 'tanh']",1000,689,0,689,0.14131848211805698,0.42042861239041057,0.35693575399335054,0.3243196010594316,-0.3149533395923545
"[3, 16, [4], 'sigmoid']",1000,671,0,671,0.16031121070263654,0.3480069481323154,0.28590006074783736,0.24256980419203145,-0.053257443290563034
"[3, 16, [8], 'tanh']",1000,688,0,688,0.12674242660722645,0.6053129837706066,0.554884149127593,0.5346790850157994,-1.0441963485557215
"[3, 16, [8], 'sigmoid']",1000,687,0,687,0.17639214867575326,0.3790682522996475,0.3142196814186294,0.2764159739013269,-0.15758708625970197
"[3, 16, [16], 'tanh']",1000,705,0,705,0.029027280147512657,0.9375855808959739,1.0858430416022884,0.9007141292092906,-3.0002519160763272
"[3, 16, [16], 'sigmoid']",1000,708,0,708,0.16003906565513815,0.32258541599018103,0.25906444273522033,0.22180116176634168,0.04560512547965023
"[3, 16, [32], 'tanh']",1000,743,0,743,0.13935808051076437,0.6634179853923117,0.6304471928342045,0.6021230742331408,-1.3225710296016073
"[3, 16, [32], 'sigmoid']",1000,759,0,759,0.14451827449934418,0.45846169059042746,0.39072803518567556,0.36423024535168347,-0.43944429492298664
"[3, 16, [4, 2], 'tanh']",1000,966,0,966,0.10809264108910943,0.4927465118659648,0.43527334069332135,0.4021469652650588,-0.6035494527423171
"[3, 16, [4, 2], 'sigmoid']",1000,966,0,966,0.1172003914098525,0.3394226151054946,0.2863371208485957,0.23044139146384168,-0.05486757517750607
"[3, 16, [8, 4], 'tanh']",1000,975,0,975,0.2045688004592061,0.4099856925098439,0.33314269286873666,0.308825552461256,-0.22729956763226422
"[3, 16, [8, 4], 'sigmoid']",1000,984,0,984,0.13246404912195442,0.38397200755583777,0.32187283614929985,0.2814431786540825,-0.18578135163917864
"[3, 16, [16, 4], 'tanh']",1000,1000,0,1000,0.2093074561027376,0.4114205962066142,0.3339789738753055,0.31867834925680427,-0.23038043159762034
"[3, 16, [16, 4], 'sigmoid']",1000,1007,0,1007,0.15730304802517203,0.49852453025671073,0.43526367007054684,0.40774196386552375,-0.603513826113236
"[3, 16, [16, 8], 'tanh']",1000,1022,0,1022,0.16517726316410308,0.7677605944197851,0.7849961172065174,0.7025380842385386,-1.8919301424395023
"[3, 16, [16, 8], 'sigmoid']",1000,1030,0,1030,0.1742643466351731,0.39425971190717046,0.33642712414774983,0.29232221841844486,-0.23939943106897776
"[3, 16, [32, 4], 'tanh']",1000,1044,1,1044,0.16739508297881034,0.5115592632165883,0.44339007983930845,0.4312291741373022,-0.633451565733818
"[3, 16, [32, 4], 'sigmoid']",1000,1037,0,1037,0.17985569943402524,0.4429368147589885,0.3762763506927576,0.35775214433658065,-0.38620420738877015
"[3, 16, [32, 8], 'tanh']",1000,1030,0,1030,0.1913441128640312,0.5456685792429423,0.4763660548000703,0.4695315957066084,-0.754935244283363
"[3, 16, [32, 8], 'sigmoid']",1000,1006,0,1006,0.11688557368903729,0.5113552552254285,0.45592612097437796,0.4237600564957017,-0.6796344122864608
"[3, 16, [32, 16], 'tanh']",1000,1012,0,1012,0.1901085526105626,0.5352091115615002,0.47743154421665074,0.4608567953070093,-0.7588605133295647
"[3, 16, [32, 16], 'sigmoid']",1000,1024,0,1024,0.19345023714916798,0.3530106637079942,0.296470132110477,0.25065213441387324,-0.09219764606523784
"[3, 32, [4], 'tanh']",1000,347,0,347,0.15872480785566212,0.5430244163365953,0.42882785889563,0.5178932547564677,-0.5798042612888605
"[3, 32, [4], 'sigmoid']",1000,344,0,344,0.17173299536420783,0.8464518986807505,0.8505959102238817,0.8548941612229493,-2.133600151508858
"[3, 32, [8], 'tanh']",1000,365,0,365,0.1569955898448664,0.2987711630837831,0.22923241070188355,0.20056474208839792,0.1555065004755355
"[3, 32, [8], 'sigmoid']",1000,354,0,354,0.15118699232266675,0.5752955743604342,0.46543448041062596,0.5531561970707387,-0.7146632623101872
"[3, 32, [16], 'tanh']",1000,382,0,382,0.15800679590417144,0.3131224706349723,0.2552227045908906,0.20790329575497257,0.0597581105650834
"[3, 32, [16], 'sigmoid']",1000,369,0,369,0.14543880299230783,0.32985351701172727,0.24234091180196443,0.24305117130320697,0.10721470816906198
"[3, 32, [32], 'tanh']",1000,409,0,409,0.12804624582128332,0.30918397161154776,0.23734345196187878,0.21327596902837087,0.12562537852830458
"[3, 32, [32], 'sigmoid']",1000,417,0,417,0.1424795427151262,0.32193879397457403,0.24079221060816755,0.2373176217061732,0.11292013213970697
"[3, 32, [4, 2], 'tanh']",1000,497,0,497,0.1592301442019033,0.29633259372382725,0.22823812750736155,0.20144760608654555,0.1591694453963226
"[3, 32, [4, 2], 'sigmoid']",1000,490,0,490,0.14494683558882537,0.5680445964336899,0.4513162580428612,0.5448740720753551,-0.6626516511339484
"[3, 32, [8, 4], 'tanh']",1000,498,1,498,0.18598924602585376,0.2898368369308442,0.22353532365216622,0.18760424852399682,0.17649460143813533
"[3, 32, [8, 4], 'sigmoid']",1000,500,0,500,0.16368425517555407,0.4962477353945401,0.3745547170914189,0.46019911766097366,-0.3798616994491568
"[3, 32, [16, 4], 'tanh']",1000,509,0,509,0.21892103135089314,0.28929368083782747,0.2247052764156586,0.18667536973919674,0.17218448883017223
"[3, 32, [16, 4], 'sigmoid']",1000,511,0,511,0.14242962918748836,0.45143300590396784,0.3353207815942124,0.4039826393100392,-0.235323658834812
"[3, 32, [16, 8], 'tanh']",1000,509,1,509,0.18483023243220686,0.34160925325627406,0.27754401368730586,0.24041211605115498,-0.022473718586308644
"[3, 32, [16, 8], 'sigmoid']",1000,507,0,507,0.14989323606434724,0.2996261340101614,0.23081919080910895,0.206615805624756,0.14966079357212003
"[3, 32, [32, 4], 'tanh']",1000,518,0,518,0.20393580589108506,0.33800309520593713,0.2773978131128356,0.23286977410274534,-0.021935114841799663
"[3, 32, [32, 4], 'sigmoid']",1000,528,0,528,0.18167712850596762,0.30738730494711963,0.2260393520984198,0.21902132034317945,0.1672697464579399
"[3, 32, [32, 8], 'tanh']",1000,524,0,524,0.1739205454205861,0.30502845519356203,0.24789059715291356,0.1979244351382955,0.08676963589968867
"[3, 32, [32, 8], 'sigmoid']",1000,528,0,528,0.18827576942675694,0.3034331304556897,0.22249374260779137,0.21971130371044656,0.18033179190570148
"[3, 32, [32, 16], 'tanh']",1000,532,0,532,0.17880648587322667,0.3176940353135435,0.2557196625673165,0.21386259794219264,0.05792731456488642
"[3, 32, [32, 16], 'sigmoid']",1000,538,0,538,0.1889271848467896,0.31376114724248927,0.22644839411590523,0.22938239574557384,0.16576283334848418
"[4, 16, [4], 'tanh']",1000,787,1,787,0.15930567363699966,0.6056354414613437,0.567704163977525,0.5214463919400825,-1.0914253558825013
"[4, 16, [4], 'sigmoid']",1000,800,0,800,0.12988917694606295,0.48367019054600074,0.41776708673851154,0.3987833857533073,-0.539056314007726
"[4, 16, [8], 'tanh']",1000,892,0,892,0.15715723785953195,0.5930756270244061,0.5405719996504174,0.5191476345054149,-0.9914703088099028
